date,antwerpen,limburg,oost_vlaanderen,vlaams_brabant,west_vlaanderen
2015,116135265,57715242,92935605,71605274,100854064
2016,123934417,65715819,114203295,78223998,105410490
2017,155507183,78527399,145960782,89933111,133131518
2018,224666714,112249942,164195151,197048625,154884207
2019,219353092,97380957,149330009,112487000,136381420
2020,194694647,74458229,127121533,100078648,115758854
2021,151383182,87339983,138874690,102705815,138597287
2022,172048876,104313716,172777744,120007819,178137213
2023,181211630,126107698,172155846,139895709,203101156
2024,351726215,231288281,301489835,270527550,369532453
2025,537711875,236695154,345172046,317319332,319611146
2026,351939025,78234577,200397070,212473178,209377819
